Ligand	Receptor	interaction.type	sourcedb	host.organism
FGFR4	SHC1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LAMC1	ITGB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL9A2	MTNR1A	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
COL9A2	ITGA1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL9A2	ITGA11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL9A2	NCAM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	AGTR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	GNG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	RXFP4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	TAS2R4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	C3AR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	GRM8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	BDKRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	OPRL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	GNA12	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCL16	ADCY3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCL16	APLNR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMS	S1PR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	MCHR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
JAG2	NOTCH3	-	MI:0468(hprd)	-
HGF	SDC2	-	MI:0468(hprd)	-
SVEP1	ZFYVE9	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
IL6R	IL6ST	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRN	PPP2CA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IL6R	IL6ST	-	MI:0468(hprd)	-
IL6R	WWP1	-	MI:0468(hprd)	-
SVEP1	ZFYVE9	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
JAG2	NOTCH4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CTSB	TLR9	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ERBB3	NEDD4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ERBB3	NEDD4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ERBB3	L1CAM	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ERBB3	L1CAM	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
ERBB3	PTPRH	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ERBB3	L1CAM	MI:0914(association)	MI:0000(corum)	taxid:9606(Homo sapiens)
ERBB3	MET	MI:0915(physical association)	MI:0465(dip)	-
ERBB3	MET	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EFNB2	PECAM1	-	MI:0468(hprd)	-
EFNB2	GRM1	-	MI:0468(hprd)	-
PRSS1	KRT1	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
APOC2	GPC1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APOC2	LRP8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGFR	PLD2	-	MI:0000(bind_translation)	-
EGFR	PLD2	-	MI:0462(bind)	-
AGT	ATP6AP2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	ATP1A1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	PTK2B	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	AKT2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
AGT	ATP6AP2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AGT	BDKRB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AGT	HTR2A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGFR	SRPRB	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	TNFRSF10B	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IFNA1	IFNAR1	-	MI:0468(hprd)	-
COPA	MTNR1B	-	MI:0468(hprd)	-
ICAM1	SLC3A2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
OAF	HLA-DQB2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
C12orf49	HTRA1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IFNA1	IFNAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IFNA1	PTPN6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL7A1	ITGB4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LPL	RXRA	psi-mi:MI:0914(association)	MI:0467(reactome)	-
LPL	GPC1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TNFSF13B	TNFRSF13C	-	MI:0468(hprd)	-
EGFR	KCNQ1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	DPEP3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	PLD2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	EPN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
MST1	MST1R	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MST1	MST1R	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
PNOC	P2RY14	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	OXGR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	TAS2R41	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	SSTR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	NPY1R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	ADRA2B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	ADCY3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PNOC	ADRA2A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	CNR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	DRD3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	GRM3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	CCR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	CCR7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HLA-E	SHC1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HLA-E	HLA-C	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HLA-E	CNNM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CSF1	HLA-B	-	MI:0468(hprd)	-
EGFR	PLD2	-	MI:0468(hprd)	-
SEMA3A	RRAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
BMP2	BMPR2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
BMP2	BMPR2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GNRH2	CASR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	GRM3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
BMP2	BMPR2	MI:0407(direct interaction)	MI:0465(dip)	-
GNRH2	NTSR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	LPAR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	GRM4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNRH2	PROKR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	NMBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	GPR132	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	ARHGEF25	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNRH2	P2RY2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	PTGFR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	GRM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRTN	RET	-	MI:0468(hprd)	-
BMP2	BMPR2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
FGFR3	CBL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EFNA4	EPHA7	-	MI:0462(bind)	-
EGFR	RET	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
FGFR3	FGFR3	-	MI:0468(hprd)	-
APP	OR2W1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
BMP2	BMPR2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
APP	RASA3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	OR7A5	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
BMP2	BMPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	OLFM3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	RAB5C	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	SLC1A1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	STX11	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	AKT2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	ROR1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	NTM	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	P2RY2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	CEACAM6	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	KIR2DL3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	PIM1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	ITGA5	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	RAB5C	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	STX4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	AP2A2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	RPSA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	CORO1C	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	F2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	NR0B2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	GLRB	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FN1	ITGA5	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	ACHE	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	APP	MI:0914(association)	MI:0000(corum)	taxid:9606(Homo sapiens)
APP	APP	MI:0407(direct interaction)	MI:0465(dip)	-
NTF3	NTRK2	-	MI:0468(hprd)	-
SCGN	SNAP23	-	MI:0468(hprd)	-
GNAS	AVPR2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAS	GNAS	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR3	FGFR3	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
APP	APP	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
A2M	CDC42	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
A2M	ANXA2	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
A2M	RHOU	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
A2M	CDC42	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CRP	LAMA5	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGF8	FGFR3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	OR2W1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EGFR	RET	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
APP	SORL1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
FAM19A4	NRP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	ADRA1D	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	HRH3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	NPFFR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	P2RY2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	GNA12	psi-mi:MI:0914(association)	MI:0467(reactome)	-
APP	TBXA2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	P2RY6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	MTNR1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	P2RX7	psi-mi:MI:0914(association)	MI:0467(reactome)	-
APP	APLNR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	TAS2R16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	MCHR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	TAS2R19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	ADCY6	psi-mi:MI:0914(association)	MI:0467(reactome)	-
APP	CCR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	GNA11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	OXTR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	ADRA1A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GH1	PRLR	-	MI:0462(bind)	-
GH1	PRLR	-	MI:0000(bind_translation)	-
GH1	ANXA2	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
FAM19A3	LRP2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IGFBP5	LTBP1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL5	GRM2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL5	OPRM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FAM19A4	LRRC4B	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GH1	ANXA2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
GH1	PRLR	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
GH1	PRLR	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
GH1	PRLR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GH1	P2RY4	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
GH1	ANXA2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
CDH1	MET	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	NECTIN2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	IRAK1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	SNAP23	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	SPTBN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FAM19A4	NRXN3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NPB	ECE1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NPB	NPBWR1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NPB	NPBWR1	-	MI:0468(hprd)	-
PODXL2	SELL	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SEMA3A	RND1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGFR	EPN1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGFR	KRAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRP	GRPR	-	MI:0468(hprd)	-
NTNG1	LRRC4C	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
NTNG1	LRRC4C	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
NPB	NPBWR1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
NPB	AGTR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	BDKRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	CCR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	OPRL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	GNA12	psi-mi:MI:0914(association)	MI:0467(reactome)	-
NPB	TAS2R16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
F2	SERPINE1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NPB	OXER1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	TAS2R30	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	NPBWR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	P2RY13	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	GRM6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	SSTR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	GNA13	psi-mi:MI:0914(association)	MI:0467(reactome)	-
NPB	MCHR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	CHRM2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	MCHR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	NPY2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPB	DRD4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DCN	MET	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DCN	MET	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
F2	SERPINE1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
F2	GNA11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
F2	ADRA1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MADCAM1	ITGB7	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
F2	HTR2A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
F2	TACR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SLC25A25	IL13RA2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL1	CXCR2	MI:0915(physical association)	MI:0465(dip)	-
CXCL1	CXCR2	-	MI:0468(hprd)	-
CXCL1	CXCR2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
PSEN1	NOTCH3	-	MI:0468(hprd)	-
CXCL1	CXCR2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TRH	GRPR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TRH	CHRM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TRH	CASR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TRH	TACR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TRH	NPFFR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	GNA12	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CXCL1	LPAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MADCAM1	ITGB7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	FPR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TRH	ARHGEF25	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CXCL1	GABBR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	LPAR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	ADCY9	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CXCL1	DRD4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	OPRK1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	GRM3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	TAS2R14	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	CXCR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	GPR55	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	RXFP4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL1	P2RY12	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PSEN1	RAB3A	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PIGR	PIGR	-	MI:0462(bind)	-
SYAP1	TAS2R41	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TG	ASGR1	-	MI:0468(hprd)	-
EXTL2	SLC22A9	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GRP	ADRA1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PIGR	PIGR	-	MI:0000(bind_translation)	-
APP	BCAP31	-	MI:0468(hprd)	-
HPSE2	SDC1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL5A1	ITGA1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
L1CAM	CNTN1	-	MI:0468(hprd)	-
PIP	CD4	-	MI:0468(hprd)	-
ADAMTSL4	PLSCR1	-	MI:0468(hprd)	-
WFDC2	PTN	-	MI:0468(hprd)	-
IGLL1	FAT1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SST	GRM4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EMILIN3	PLAUR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GPHA2	PLXNA2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IL17RB	ACVR2B	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ANG	PLAUR	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
ANG	PLAUR	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
CGA	PTN	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
EPOR	PTPN6	-	MI:0468(hprd)	-
ADAMTSL4	PLSCR1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
LRCH3	CRLF3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ADAMTSL4	PLSCR1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
CXCL12	LPAR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROC	F2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK1	LPAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG1	ERBB4	-	MI:0468(hprd)	-
SCGB1D4	SCARB1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CD8B	CD8A	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
LAMA3	COL17A1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	CCR10	MI:0915(physical association)	MI:0465(dip)	-
FLT1	NEDD4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NRP2	SEMA3F	-	MI:0468(hprd)	-
NRP2	SEMA3B	-	MI:0468(hprd)	-
CES4A	EGFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
MMP3	SERPINE1	-	MI:0468(hprd)	-
WNT11	FZD7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
WNT11	WLS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PTH2	AVPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	CCR10	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CD8B	CD8A	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
UGGT1	TNFRSF14	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
TYROBP	NCR2	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
TYROBP	TREM2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
TYROBP	TREM2	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
CALR	LPL	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CD8B	CD8A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CD8B	CD3D	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	CXCR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	NPY	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CXCL12	GRM8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	TAS2R7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	HRH4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
INHBA	ACVR1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL12	CCR7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	CCR10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	ADRA2C	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	CXCR6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CXCL12	CCR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	ADCY5	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CXCL12	MCHR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL12	NPY2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CD40LG	CD40	MI:0915(physical association)	MI:0465(dip)	-
CD40LG	CD40	-	MI:0468(hprd)	-
CD40LG	CD40	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
CXCL12	TAS2R3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PTPRZ1	PTPRZ1	psi-mi:MI:0914(association)	MI:0917(matrixdb)	-
CD40LG	CD40	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CD40LG	CD40	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
GAL	CNR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAL	HTR1F	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL9A1	MAG	-	MI:0468(hprd)	-
CD40LG	CD40	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAL	TAS2R14	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAL	TAS2R41	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAL	HCAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAL	TAS2R4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAL	SSTR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TYROBP	TREM2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TYROBP	TREM2	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
UTS2B	P2RY2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
